> FaultNo.1   color.1
 79.539387   41.345100
 79.539858   41.345204
 79.576698   41.352509
 79.596674   41.356815
 79.680702   41.378783
 79.756161   41.392934
 79.849306   41.402202
 79.944218   41.416552
 80.038828   41.423231
 80.081977   41.428624
 80.104057   41.431805
> FaultNo.2   color.1
 77.913553   40.897072
 77.915134   40.897265
> FaultNo.3   color.1
 77.915134   40.897265
 78.394509   40.955819
 79.067157   41.192568
 79.120658   41.212504
 79.217680   41.252972
 79.285991   41.277567
 79.416161   41.311644
 79.422878   41.313684
> FaultNo.4   color.1
 96.729188   32.873838
 96.835109   32.847924
 96.966777   32.826939
 97.053177   32.812782
 97.131345   32.799685
 97.217687   32.785411
 97.254502   32.781153
 97.282803   32.781305
> FaultNo.10   color.1
105.287699   33.968663
105.398199   33.968356
105.443217   33.968203
105.573824   33.918253
105.598216   33.898372
105.724824   33.881221
105.876008   33.873650
> FaultNo.11   color.1
105.514594   34.247879
105.839487   34.288913
106.279497   34.308202
106.921752   34.349308
> FaultNo.20   color.1
 97.858120   27.757541
 97.742611   27.885799
 97.622084   28.009903
 97.497492   28.130591
 97.369821   28.248417
 97.260703   28.345636
> FaultNo.22   color.1
 98.169689   26.217246
 97.954660   25.652454
 97.807069   25.442989
 97.540909   25.142765
 97.409874   24.868868
 97.331145   24.387577
 97.307292   24.167249
 97.174373   23.938836
 97.106157   23.847817
 96.880792   23.627494
> FaultNo.24   color.1
103.795641   21.847706
103.793271   21.838198
103.794103   21.827581
103.797337   21.816257
103.802326   21.804656
103.808269   21.793148
103.814459   21.782100
103.820126   21.771946
103.824591   21.763083
103.829703   21.751728
103.835031   21.740589
103.840759   21.729726
103.846949   21.719233
103.853755   21.709171
103.861299   21.699601
103.869737   21.690646
103.879221   21.682338
103.886365   21.677106
103.893786   21.672398
103.901362   21.667998
103.909029   21.663720
103.916666   21.659382
103.924179   21.654827
103.931446   21.649842
103.938375   21.644242
103.949953   21.632579
103.959900   21.619901
103.968738   21.606577
103.976899   21.592883
103.984875   21.579097
103.993128   21.565527
104.002151   21.552449
104.012405   21.540171
104.019642   21.533309
104.027525   21.527185
104.035870   21.521615
104.044523   21.516353
104.053299   21.511214
104.061983   21.506014
104.070481   21.500567
104.078519   21.494628
104.087541   21.487027
104.096194   21.479027
104.104478   21.470564
104.112392   21.461763
104.119906   21.452593
104.126988   21.443116
104.133640   21.433392
104.139891   21.423360
104.146143   21.412374
104.152210   21.401327
104.158430   21.390434
104.165082   21.380002
104.172473   21.370278
104.180941   21.361477
104.190795   21.353938
104.202312   21.347845
104.216722   21.342983
104.231811   21.339937
104.247361   21.338398
104.263188   21.337937
104.279107   21.338213
104.294934   21.338798
104.310484   21.339321
104.325572   21.339413
104.396794   21.333228
104.463582   21.317995
104.526707   21.295009
104.586907   21.265560
104.644921   21.231002
104.701550   21.192660
104.757563   21.151826
104.813668   21.109853
> FaultNo.25   color.1
104.080182   28.192369
104.079116   28.195427
104.075998   28.204388
104.072888   28.213352
104.069784   28.222317
104.067926   28.227694
104.067496   28.228439
104.066857   28.229556
104.066224   28.230677
104.065597   28.231802
104.064977   28.232930
104.064363   28.234061
104.063756   28.235196
104.063155   28.236334
104.062560   28.237476
104.061972   28.238621
104.061390   28.239769
104.060814   28.240920
104.060245   28.242075
104.059682   28.243233
104.059126   28.244394
104.058576   28.245558
104.058033   28.246725
104.057497   28.247895
104.056966   28.249068
104.056443   28.250244
104.055926   28.251422
104.055415   28.252604
104.054912   28.253789
104.054414   28.254976
104.053924   28.256166
104.053440   28.257359
104.052963   28.258555
104.052492   28.259753
104.052066   28.260856
104.051716   28.261527
104.051257   28.262395
104.050791   28.263259
104.050319   28.264120
104.049840   28.264977
104.049356   28.265831
104.048865   28.266682
104.048367   28.267528
104.047864   28.268371
104.047355   28.269211
104.046839   28.270046
104.046317   28.270878
104.045789   28.271706
104.045256   28.272530
104.044716   28.273350
104.044170   28.274166
104.043618   28.274978
104.043060   28.275786
104.042497   28.276590
104.041927   28.277390
104.041352   28.278186
104.040771   28.278977
104.040184   28.279764
104.039591   28.280547
104.038992   28.281325
104.038388   28.282099
104.037779   28.282869
104.037163   28.283634
104.036927   28.283925
104.036927   28.307715
104.036960   28.307972
104.037014   28.308432
104.037061   28.308892
104.037100   28.309352
104.037132   28.309814
104.037158   28.310276
104.037176   28.310738
104.037186   28.311200
104.037190   28.311663
104.037186   28.312125
104.037176   28.312587
104.037158   28.313050
104.037132   28.313511
104.037100   28.313973
104.037061   28.314434
104.037014   28.314894
104.036960   28.315353
104.036899   28.315812
104.036831   28.316269
104.036756   28.316725
104.036674   28.317180
104.036584   28.317634
104.036488   28.318087
104.036384   28.318537
104.036274   28.318986
104.036157   28.319434
104.036032   28.319879
104.035901   28.320323
104.035763   28.320764
104.035618   28.321203
104.035466   28.321640
104.035308   28.322075
104.035142   28.322507
104.034970   28.322936
104.034792   28.323363
104.034606   28.323786
104.034415   28.324207
104.034216   28.324625
104.034011   28.325040
104.033800   28.325451
104.033583   28.325859
104.033359   28.326264
104.033128   28.326665
104.032892   28.327062
104.032649   28.327456
104.032401   28.327846
104.032146   28.328232
104.031885   28.328614
104.031880   28.328621
104.031806   28.328863
104.031618   28.329458
104.031423   28.330051
104.031222   28.330641
104.031013   28.331229
104.030798   28.331815
104.030576   28.332398
104.030347   28.332979
104.030112   28.333556
104.029869   28.334132
104.029621   28.334704
104.029365   28.335273
104.029103   28.335840
104.028835   28.336403
104.028560   28.336963
104.028279   28.337520
104.027991   28.338074
104.027697   28.338624
104.027396   28.339171
104.027090   28.339714
104.026777   28.340254
104.026457   28.340790
104.026132   28.341323
104.025800   28.341851
104.025463   28.342376
104.025119   28.342897
104.024769   28.343414
104.024414   28.343926
104.024052   28.344435
104.023685   28.344939
104.023312   28.345440
104.022933   28.345935
104.022548   28.346427
104.022158   28.346914
104.021788   28.347365
104.018904   28.360342
104.011695   28.375481
104.011673   28.375538
104.011501   28.375977
104.011321   28.376413
104.011136   28.376846
104.010943   28.377276
104.010744   28.377703
104.010539   28.378127
104.010327   28.378548
104.010109   28.378966
104.009884   28.379380
104.009653   28.379791
104.009416   28.380198
104.009173   28.380602
104.008923   28.381001
104.008668   28.381397
104.008406   28.381789
104.008138   28.382177
104.007865   28.382561
104.007586   28.382941
104.007301   28.383316
104.007010   28.383687
104.006713   28.384053
104.006411   28.384415
104.006104   28.384772
104.005791   28.385124
104.005473   28.385472
104.005149   28.385814
104.004820   28.386152
104.004487   28.386485
104.004148   28.386812
104.003804   28.387134
104.003455   28.387451
104.003101   28.387763
104.002743   28.388069
104.002380   28.388370
104.002013   28.388665
104.001641   28.388954
104.001265   28.389238
104.000884   28.389515
104.000499   28.389787
104.000110   28.390054
103.999717   28.390314
103.999320   28.390568
103.998920   28.390816
103.998515   28.391058
103.998107   28.391293
103.997695   28.391523
103.997280   28.391746
103.996862   28.391962
103.996440   28.392173
103.996015   28.392376
103.995587   28.392574
103.995156   28.392764
103.995114   28.392783
103.993530   28.394041
103.991813   28.395397
103.990091   28.396747
103.988365   28.398091
103.986635   28.399430
103.984900   28.400762
103.983161   28.402089
103.981417   28.403411
103.979670   28.404726
103.977917   28.406036
103.976161   28.407341
103.974400   28.408639
103.972635   28.409931
103.970866   28.411218
103.969093   28.412499
103.968440   28.412968
103.968408   28.412994
103.967739   28.413536
103.967074   28.414084
103.966414   28.414637
103.965759   28.415196
103.965108   28.415760
103.964463   28.416330
103.963821   28.416905
103.963185   28.417485
103.962554   28.418071
103.961927   28.418662
103.961306   28.419258
103.960689   28.419859
103.960078   28.420465
103.959471   28.421077
103.958870   28.421693
103.958274   28.422315
103.957683   28.422942
103.957097   28.423573
103.956517   28.424209
103.955942   28.424850
103.955372   28.425496
103.954808   28.426147
103.954249   28.426802
103.953696   28.427462
103.953148   28.428127
103.952606   28.428796
103.952069   28.429470
103.951539   28.430148
103.951013   28.430830
103.950494   28.431517
103.949980   28.432208
103.949472   28.432904
103.948970   28.433603
103.948474   28.434307
103.947983   28.435015
103.947499   28.435727
103.947020   28.436443
103.946813   28.436758
103.946218   28.437626
103.945544   28.438621
103.944875   28.439621
103.944213   28.440625
103.943556   28.441632
103.942906   28.442644
103.942261   28.443659
103.941623   28.444678
103.940991   28.445701
103.940365   28.446728
103.939745   28.447759
103.939131   28.448793
103.938524   28.449831
103.937922   28.450872
103.937327   28.451917
103.936739   28.452966
103.936156   28.454018
103.935580   28.455073
103.935010   28.456132
103.934447   28.457195
103.933889   28.458260
103.933339   28.459329
103.932794   28.460402
103.932256   28.461477
103.931725   28.462556
103.931200   28.463638
103.930953   28.464153
103.930923   28.464196
103.930644   28.464605
103.930372   28.465018
103.930105   28.465436
103.929845   28.465857
103.929591   28.466281
103.929342   28.466710
103.929101   28.467142
103.928865   28.467577
103.928636   28.468016
103.928413   28.468458
103.928197   28.468904
103.927988   28.469352
103.927784   28.469804
103.927588   28.470258
103.927398   28.470715
103.927215   28.471175
103.927038   28.471638
103.926869   28.472103
103.926706   28.472571
103.926550   28.473040
103.926400   28.473513
103.926258   28.473987
103.926123   28.474463
103.925994   28.474941
103.925873   28.475421
103.925758   28.475903
103.925651   28.476386
103.925551   28.476871
103.925457   28.477357
103.925371   28.477845
103.925292   28.478333
103.925220   28.478823
103.925156   28.479314
103.925098   28.479806
103.925047   28.480298
103.925004   28.480791
103.924968   28.481285
103.924939   28.481779
103.924918   28.482274
103.924903   28.482769
103.924896   28.483264
103.924896   28.483759
103.924903   28.484254
103.924918   28.484749
103.924939   28.485244
103.924968   28.485738
103.925004   28.486232
103.925047   28.486725
103.925098   28.487217
103.925156   28.487709
103.925185   28.487943
103.925208   28.488163
103.925273   28.488747
103.925344   28.489330
103.925423   28.489912
103.925509   28.490494
103.925603   28.491074
103.925703   28.491653
103.925810   28.492230
103.925925   28.492807
103.926046   28.493382
103.926175   28.493955
103.926310   28.494527
103.926453   28.495097
103.926602   28.495665
103.926758   28.496232
103.926922   28.496796
103.927092   28.497359
103.927269   28.497919
103.927453   28.498477
103.927644   28.499033
103.927842   28.499586
103.928046   28.500137
103.928257   28.500686
103.928475   28.501231
103.928699   28.501774
103.928930   28.502315
103.929168   28.502852
103.929412   28.503387
103.929663   28.503918
103.929920   28.504446
103.930184   28.504971
103.930454   28.505493
103.930731   28.506012
103.931014   28.506527
103.931303   28.507038
103.931598   28.507546
103.931900   28.508051
103.932207   28.508551
103.932395   28.508849
> FaultNo.26   color.1
104.041702   27.443136
104.020667   27.436949
104.007056   27.422101
103.995920   27.396117
103.986022   27.372607
103.968699   27.352810
103.942715   27.331775
103.915493   27.314452
103.893221   27.300841
103.865999   27.282281
103.853626   27.271145
