> FaultNo.8   color.2
106.049105   34.557906
106.072582   34.553731
106.158781   34.540735
106.216531   34.531268
106.289429   34.519907
106.340552   34.512333
106.391676   34.507600
106.421971   34.506653
> FaultNo.19   color.2
 99.860160   24.179801
 99.885542   24.205976
 99.929879   24.251118
 99.972030   24.293983
100.011841   24.335094
100.049251   24.374975
100.084104   24.414116
100.116310   24.452950
> FaultNo.36   color.2
103.294411   30.450807
103.279445   30.407859
103.257284   30.340220
103.241261   30.311620
103.215820   30.287374
103.178421   30.237780
103.133705   30.181682
103.118126   30.161059
103.099201   30.136006
103.093847   30.124703
103.090278   30.105668
> FaultNo.37   color.2
102.579379   24.566057
102.567634   24.540847
102.547608   24.499879
102.528978   24.454502
102.506218   24.406597
> FaultNo.51   color.2
102.619303   25.031219
102.616252   25.027772
102.612676   25.024134
102.610572   25.021740
102.608993   25.019729
102.606996   25.018006
102.605314   25.016571
102.603107   25.014945
102.600901   25.013319
102.598904   25.011789
102.596274   25.008724
102.594382   25.006905
102.592909   25.004989
102.591435   25.002785
102.589541   25.000199
102.587963   24.998187
102.586176   24.996368
102.583547   24.993591
102.581234   24.991197
102.579027   24.988995
102.577136   24.987464
102.576085   24.986507
102.574615   24.985359
102.572724   24.984116
102.570940   24.983160
102.569260   24.982204
102.567475   24.981249
102.566109   24.979812
102.564847   24.978376
102.563166   24.976940
102.561800   24.975503
102.559700   24.974165
102.558125   24.972921
102.557074   24.971771
102.555708   24.970335
102.553713   24.968996
102.551718   24.967753
102.549304   24.966414
102.547205   24.965363
102.545631   24.964503
102.542482   24.962687
102.540067   24.960772
102.539226   24.959623
102.538384   24.958473
102.538068   24.957418
> FaultNo.52   color.2
102.282235   24.619209
102.282229   24.622859
102.282222   24.627085
102.282002   24.633232
102.281790   24.635057
102.281466   24.640628
102.281356   24.643991
102.281139   24.648410
102.280713   24.652540
102.280395   24.655229
102.280180   24.658591
102.280175   24.661377
102.280381   24.662913
102.280721   24.665539
102.281213   24.667148
102.282469   24.669354
102.283724   24.671465
102.285294   24.673479
> FaultNo.53   color.2
102.354070   24.734697
102.352375   24.732185
102.351327   24.730171
102.351012   24.728828
102.350696   24.726813
> FaultNo.54   color.2
102.350382   24.725854
102.349856   24.722975
102.348912   24.720385
102.347342   24.718179
102.344620   24.715399
102.343887   24.714728
> FaultNo.55   color.2
102.548863   24.956625
102.543714   24.949273
102.539984   24.944230
102.533582   24.936489
102.530642   24.933616
102.527387   24.930840
102.524761   24.927679
102.522976   24.926052
102.519616   24.922508
102.517935   24.920497
102.513639   24.916128
> FaultNo.56   color.2
102.316253   24.686125
102.317616   24.688938
102.319067   24.690682
102.320547   24.692390
102.322431   24.694404
102.323909   24.695776
102.325361   24.697664
102.326408   24.698814
102.328606   24.700925
102.330803   24.702554
102.332269   24.704088
102.333943   24.705334
102.336037   24.707539
102.339595   24.710414
102.341479   24.712140
102.343573   24.714249
> FaultNo.57   color.2
102.282134   24.617768
102.282243   24.614790
102.282247   24.612869
> FaultNo.58   color.2
102.303393   24.689397
102.300463   24.686904
102.297429   24.684699
102.295128   24.683070
102.292617   24.680864
102.291048   24.679426
102.289269   24.678083
102.287595   24.676261
102.285921   24.674631
102.284771   24.673576
> FaultNo.59   color.2
102.425139   24.845240
102.422412   24.842557
102.421259   24.841599
102.418638   24.839012
102.414968   24.835562
102.411194   24.831345
102.409201   24.828565
102.406789   24.825209
102.404377   24.821950
102.401861   24.819074
102.399450   24.816774
102.397563   24.814665
102.396094   24.811884
102.394940   24.809774
102.393578   24.808144
102.391480   24.804212
102.388544   24.800377
102.386553   24.798268
102.384773   24.797119
> FaultNo.60   color.2
102.824304   30.761264
102.780878   30.737470
102.763032   30.724978
102.731505   30.693450
102.708305   30.672629
102.683320   30.661327
102.659526   30.648835
102.633947   30.632773
102.619478   30.619363
> FaultNo.61   color.2
102.619478   30.619363
102.609557   30.610169
> FaultNo.63   color.2
102.637654   24.832371
