> No.0   color.3
 81.016694   41.467955
 80.967646   41.471592
 80.933895   41.480467
 80.900934   41.486984
 80.857508   41.494095
 80.805233   41.507072
 80.762599   41.521786
 80.715120   41.540598
 80.674059   41.560569
 80.647476   41.578184
 80.599941   41.586974
 80.560441   41.602215
 80.501590   41.613897
 80.438717   41.617325
 80.362909   41.628330
 80.238821   41.620351
> No.5   color.3
 96.615190   33.153043
 96.606973   33.156968
 96.563396   33.174403
 96.526402   33.189654
 96.482767   33.209277
 96.448387   33.223415
 96.400713   33.247411
 96.362298   33.265925
 96.327817   33.284463
 96.294653   33.301894
 96.258764   33.324835
 96.237679   33.352351
 96.202081   33.379570
 96.167542   33.396930
 96.146943   33.398747
 96.107056   33.418611
 96.071064   33.441492
 96.045756   33.455615
 96.021741   33.470857
 95.993738   33.487154
 95.955062   33.508856
 95.929713   33.522953
 95.900373   33.538102
 95.871001   33.554352
 95.849589   33.568484
 95.822861   33.583648
 95.763085   33.631778
> No.6   color.3
 97.324256   32.770706
 97.281550   32.794459
 97.251200   32.815680
 97.215864   32.846499
 97.180818   32.874019
 97.146068   32.898240
 97.111617   32.919163
 97.080855   32.943625
 97.060301   32.972116
 97.032662   32.980171
 96.990493   33.007299
 96.962844   33.017145
 96.935150   33.032532
 96.904833   33.045678
 96.866578   33.064317
 96.824362   33.082918
 96.797964   33.094951
 96.688098   33.135752
 96.558424   33.209544
> No.7   color.3
 96.268870   33.553097
 96.071702   33.598422
 95.804518   33.663025
 95.743001   33.681557
 95.678541   33.689907
 95.633987   33.703057
 95.606629   33.709237
 95.585744   33.712599
 95.554317   33.718455
 95.533233   33.723448
 95.514567   33.725315
 95.498126   33.725697
 95.485831   33.727913
 95.471121   33.733197
 95.461764   33.736357
 95.444346   33.743808
 95.425599   33.751232
 95.402844   33.759688
 95.390774   33.765011
 95.375993   33.772500
 95.330249   33.797148
 95.288517   33.819637
 95.246793   33.841003
 95.202362   33.863409
 95.165901   33.884852
 95.132109   33.905230
 95.095578   33.927758
 95.076625   33.939558
 95.050924   33.954538
 95.025147   33.971729
 95.007433   33.985762
 94.992440   33.997635
 94.974785   34.009447
 94.947575   34.028807
 94.924517   34.042709
 94.901345   34.059931
 94.874173   34.077058
 94.849686   34.093131
 94.825190   34.109199
 94.800721   34.124154
 94.777649   34.136919
 94.757157   34.151958
 94.733956   34.168038
 94.716265   34.178702
 94.699977   34.187180
 94.682393   34.194515
 94.663473   34.201815
 94.641886   34.209046
 94.617630   34.216207
 94.588001   34.224336
 94.570479   34.229439
 94.551622   34.234505
 94.528684   34.241682
 94.512487   34.246810
 94.501620   34.252074
 94.492084   34.257371
 94.475757   34.265817
 94.447219   34.279485
 94.417254   34.295326
 94.387319   34.310052
 94.360128   34.322626
 94.332842   34.337409
 94.305589   34.351079
 94.285176   34.360496
 94.256529   34.375225
 94.229296   34.387769
 94.206105   34.399312
 94.185669   34.408712
 94.170661   34.416046
 94.054858   34.456153
 93.881178   34.514046
 93.771825   34.559074
 93.611010   34.591237
 93.424466   34.636265
 93.334410   34.661995
 93.282949   34.674860
 93.250786   34.674860
 93.212191   34.694158
 93.122135   34.726321
 93.064242   34.745618
 92.980618   34.777781
 92.922725   34.784214
 92.832669   34.803511
 92.755478   34.816377
> No.9   color.3
105.497541   34.646807
105.592818   34.637512
105.723529   34.612951
105.864693   34.585944
105.957827   34.561352
105.998891   34.547859
> No.12   color.3
100.154427   24.504278
100.161139   24.514186
100.164114   24.518745
> No.13   color.3
100.164114   24.518745
100.167666   24.524187
100.174008   24.534249
100.180166   24.544404
100.186108   24.554620
100.191896   24.564960
100.197469   24.575360
100.202857   24.585884
> No.14   color.3
 97.913881   23.307261
 97.950461   23.318400
 97.986917   23.329078
 98.023159   23.339078
 98.058969   23.348310
 98.094225   23.356680
 98.128742   23.364003
 98.162428   23.370250
 98.195128   23.375204
 98.270137   23.383697
 98.346592   23.390804
 98.425819   23.398836
 98.509295   23.410159
 98.598343   23.427083
 98.694412   23.451947
 98.798886   23.487088
 98.913182   23.534907
 98.998750   23.574171
 99.086104   23.615190
 99.175459   23.659286
 99.266876   23.707782
 99.360572   23.762001
 99.456700   23.823268
 99.555383   23.892904
 99.656744   23.972234
> No.15   color.3
 96.155690   23.082077
 96.254331   23.082077
 96.336532   23.072213
 96.395717   23.072213
 96.445038   23.072213
 96.517375   23.075501
 96.586424   23.065637
 96.665337   23.062349
> No.16   color.3
 97.180326   23.169210
 97.343085   23.176608
 97.468852   23.186472
 97.572426   23.193870
 97.688329   23.223463
 97.774640   23.257987
 97.821495   23.282648
> No.17   color.3
 97.083928   23.161652
 97.037156   23.157652
 96.990784   23.153406
 96.944596   23.148790
 96.898347   23.143744
 96.851852   23.138205
 96.804833   23.132082
 96.757076   23.125312
 96.708364   23.117835
> No.18   color.3
 99.689627   24.010883
 99.703575   24.023007
 99.717184   24.035131
 99.730424   24.047194
 99.743263   24.059256
 99.755733   24.071257
